DATE,GEPUCURRENT
2014-09-01,123.56237086842727
2014-10-01,119.27351805394055
2014-11-01,114.05978227101372
2014-12-01,111.55866266278997
2015-01-01,136.205034256515
2015-02-01,113.05868381630897
2015-03-01,103.92467585620318
2015-04-01,102.12178171778547
2015-05-01,106.3830544325417
2015-06-01,117.33795904960715
2015-07-01,128.47496729939172
2015-08-01,131.11511068901945
2015-09-01,174.36147828455628
2015-10-01,125.19140031263639
2015-11-01,101.82186516296625
2015-12-01,113.06931612281844
2016-01-01,149.5674756031764
2016-02-01,155.86606876397724
2016-03-01,166.25536035118375
2016-04-01,144.61639638415272
2016-05-01,132.83291982043104
2016-06-01,243.3182821961318
2016-07-01,236.20460645224819
2016-08-01,143.84678374477855
2016-09-01,149.05129895510643
2016-10-01,134.16655520011636
2016-11-01,251.39847710479418
2016-12-01,222.45163864058821
2017-01-01,265.8685301890549
2017-02-01,202.18270698788737
2017-03-01,235.46507067030694
2017-04-01,181.29625404864422
2017-05-01,165.98032242217204
2017-06-01,169.65509417896877
2017-07-01,149.13398991354023
2017-08-01,141.11948063566962
2017-09-01,157.42566802379983
2017-10-01,150.6060915435894
2017-11-01,155.8516642429099
2017-12-01,149.53968961817358
2018-01-01,151.64425402035806
2018-02-01,124.83537407298112
2018-03-01,168.48453923984877
2018-04-01,157.69408543256313
2018-05-01,175.91278050237295
2018-06-01,178.33741282732828
2018-07-01,223.66435764095138
2018-08-01,180.0514080549699
2018-09-01,195.98495849542607
2018-10-01,221.78458161225208
2018-11-01,247.29985030033674
2018-12-01,270.8904607646285
2019-01-01,263.32781227761274
2019-02-01,205.68947870107604
2019-03-01,250.97500789611607
2019-04-01,191.58168303355797
2019-05-01,241.48293951643427
2019-06-01,316.5329096108339
2019-07-01,262.04133846418586
2019-08-01,317.81909975977504
2019-09-01,273.8658485954781
2019-10-01,258.45596324668475
2019-11-01,253.46684796858133
2019-12-01,266.1682626834127
2020-01-01,228.01071789494904
2020-02-01,230.56226290988062
2020-03-01,357.00669338847064
2020-04-01,358.98895871589235
2020-05-01,431.6423744980644
2020-06-01,328.70887586589487
2020-07-01,352.13918263067427
2020-08-01,301.68978966009087
2020-09-01,290.01401913356005
2020-10-01,307.7767775643895
2020-11-01,368.4186704383788
2020-12-01,295.68451290122255
2021-01-01,280.61179179458486
2021-02-01,215.39828527923123
2021-03-01,215.28777388710668
2021-04-01,199.40254688956932
2021-05-01,190.28457156715038
2021-06-01,178.8375602863134
2021-07-01,205.5489963258521
2021-08-01,216.49514459621554
2021-09-01,205.38194626062156
2021-10-01,195.25222383613618
2021-11-01,228.04866213154315
2021-12-01,266.16738207313057
2022-01-01,232.05951564434272
2022-02-01,191.88756506227168
2022-03-01,330.0724872853031
2022-04-01,302.96319944021843
2022-05-01,291.2564361143977
2022-06-01,275.28262072254444
2022-07-01,317.21271532102344
2022-08-01,257.1891872900699
2022-09-01,281.91782159326914
2022-10-01,301.2885160393558
2022-11-01,332.46600071547914
2022-12-01,263.55212038786084
2023-01-01,247.370606274351
2023-02-01,243.4146358677818
2023-03-01,310.65563693388395
2023-04-01,231.6801125923934
2023-05-01,228.34542547560366
2023-06-01,229.72057183661707
2023-07-01,226.33137756005186
2023-08-01,211.1386900418957
2023-09-01,243.8964714493466
2023-10-01,226.0939169621176
2023-11-01,246.8587807498108
2023-12-01,255.95306781876724
2024-01-01,229.81531723547417
2024-02-01,197.36974267940514
2024-03-01,177.02254669663444
2024-04-01,185.97986076684543
2024-05-01,203.21152506066298
2024-06-01,209.639556713686
